{'id': 1, 'height': 156, 'weight': 45}
{'id': 2, 'height': 185, 'weight': 45}
{'id': 3, 'height': 160, 'weight': 90}
{'id': 4, 'height': 156, 'weight': 61}
{'id': 5, 'height': 171, 'weight': 56}
{'id': 6, 'height': 160, 'weight': 64}
{'id': 7, 'height': 158, 'weight': 71}
{'id': 8, 'height': 152, 'weight': 47}
{'id': 9, 'height': 160, 'weight': 91}
{'id': 10, 'height': 150, 'weight': 52}
{'id': 11, 'height': 169, 'weight': 77}
{'id': 12, 'height': 159, 'weight': 100}
{'id': 13, 'height': 174, 'weight': 47}
{'id': 14, 'height': 173, 'weight': 101}
{'id': 15, 'height': 186, 'weight': 112}
{'id': 16, 'height': 168, 'weight': 102}
{'id': 17, 'height': 189, 'weight': 47}
{'id': 18, 'height': 193, 'weight': 67}
{'id': 19, 'height': 187, 'weight': 85}
{'id': 20, 'height': 155, 'weight': 78}
{'id': 21, 'height': 160, 'weight': 62}
{'id': 22, 'height': 157, 'weight': 112}
{'id': 23, 'height': 198, 'weight': 118}
{'id': 24, 'height': 179, 'weight': 70}
{'id': 25, 'height': 164, 'weight': 93}
{'id': 26, 'height': 160, 'weight': 106}
{'id': 27, 'height': 154, 'weight': 88}
{'id': 28, 'height': 159, 'weight': 101}
{'id': 29, 'height': 181, 'weight': 107}
{'id': 30, 'height': 163, 'weight': 109}
{'id': 31, 'height': 161, 'weight': 116}
{'id': 32, 'height': 193, 'weight': 97}
{'id': 33, 'height': 193, 'weight': 85}
{'id': 34, 'height': 158, 'weight': 104}
{'id': 35, 'height': 168, 'weight': 51}
{'id': 36, 'height': 169, 'weight': 99}
{'id': 37, 'height': 178, 'weight': 44}
{'id': 38, 'height': 169, 'weight': 105}
{'id': 39, 'height': 163, 'weight': 40}
{'id': 40, 'height': 155, 'weight': 63}
{'id': 41, 'height': 179, 'weight': 75}
{'id': 42, 'height': 188, 'weight': 62}
{'id': 43, 'height': 155, 'weight': 53}
{'id': 44, 'height': 162, 'weight': 116}
{'id': 45, 'height': 189, 'weight': 91}
{'id': 46, 'height': 171, 'weight': 106}
{'id': 47, 'height': 188, 'weight': 107}
{'id': 48, 'height': 193, 'weight': 43}
{'id': 49, 'height': 160, 'weight': 54}
{'id': 50, 'height': 158, 'weight': 100}
{'id': 51, 'height': 180, 'weight': 116}
{'id': 52, 'height': 172, 'weight': 45}
{'id': 53, 'height': 166, 'weight': 63}
{'id': 54, 'height': 179, 'weight': 88}
{'id': 55, 'height': 199, 'weight': 51}
{'id': 56, 'height': 153, 'weight': 55}
{'id': 57, 'height': 172, 'weight': 110}
{'id': 58, 'height': 160, 'weight': 96}
{'id': 59, 'height': 191, 'weight': 72}
{'id': 60, 'height': 164, 'weight': 97}
{'id': 61, 'height': 197, 'weight': 80}
{'id': 62, 'height': 170, 'weight': 44}
{'id': 63, 'height': 172, 'weight': 67}
{'id': 64, 'height': 185, 'weight': 102}
{'id': 65, 'height': 161, 'weight': 47}
{'id': 66, 'height': 181, 'weight': 48}
{'id': 67, 'height': 160, 'weight': 76}
{'id': 68, 'height': 189, 'weight': 84}
{'id': 69, 'height': 195, 'weight': 55}
{'id': 70, 'height': 153, 'weight': 99}
{'id': 71, 'height': 153, 'weight': 100}
{'id': 72, 'height': 158, 'weight': 102}
{'id': 73, 'height': 187, 'weight': 91}
{'id': 74, 'height': 179, 'weight': 44}
{'id': 75, 'height': 156, 'weight': 41}
{'id': 76, 'height': 152, 'weight': 46}
{'id': 77, 'height': 195, 'weight': 101}
{'id': 78, 'height': 189, 'weight': 74}
{'id': 79, 'height': 154, 'weight': 90}
{'id': 80, 'height': 192, 'weight': 72}
{'id': 81, 'height': 167, 'weight': 94}
{'id': 82, 'height': 177, 'weight': 49}
{'id': 83, 'height': 164, 'weight': 96}
{'id': 84, 'height': 182, 'weight': 91}
{'id': 85, 'height': 186, 'weight': 98}
{'id': 86, 'height': 178, 'weight': 59}
{'id': 87, 'height': 183, 'weight': 93}
{'id': 88, 'height': 180, 'weight': 68}
{'id': 89, 'height': 155, 'weight': 107}
{'id': 90, 'height': 171, 'weight': 65}
{'id': 91, 'height': 166, 'weight': 101}
{'id': 92, 'height': 193, 'weight': 55}
{'id': 93, 'height': 177, 'weight': 107}
{'id': 94, 'height': 188, 'weight': 93}
{'id': 95, 'height': 164, 'weight': 94}
{'id': 96, 'height': 189, 'weight': 74}
{'id': 97, 'height': 193, 'weight': 81}
{'id': 98, 'height': 166, 'weight': 101}
{'id': 99, 'height': 177, 'weight': 118}
{'id': 100, 'height': 156, 'weight': 87}
